"Town","Pct Population 1-2x FPL Level","90% MoE"
"Connecticut",0.128070354753682,0.00233981444032449
"Bethel",0.109632242890742,0.0263332265192399
"Bridgeport",0.238311380717048,0.015316883678124
"Brookfield",0.0486864304651723,0.0134267739189934
"Danbury",0.171468584887644,0.0218932061366405
"Darien",0.0175034767179782,0.00894353644592306
"Easton",0.016158940397351,0.0103732788128033
"Fairfield",0.0617270537961504,0.0098441638724958
"Greenwich",0.071764475360047,0.0114246605946671
"Monroe",0.0892356330630768,0.0287446357723738
"New Canaan",0.0474678760393046,0.0213961926181886
"New Fairfield",0.0691512279190004,0.023042355453786
"Newtown",0.0920136316491332,0.0205159958904692
"Norwalk",0.115560933609476,0.0149101822636024
"Redding",0.0338743056311949,0.0154814232258495
"Ridgefield",0.041031036296686,0.0134896431127296
"Shelton",0.0655069381140484,0.0140817618621386
"Sherman",0.0586273964990275,0.034286387111062
"Stamford",0.154448450713396,0.0151125303209648
"Stratford",0.138658084649893,0.0211941332570743
"Trumbull",0.0625,0.0139800140205871
"Weston",0.0169722980881779,0.0110096184209013
"Westport",0.0323589241316959,0.0123610635735857
"Wilton",0.0376797223599405,0.01234181466697
"Avon",0.0460931859832287,0.0144720057642951
"Berlin",0.0780092477502113,0.0253766472651602
"Bloomfield",0.118714875416522,0.0379774345645528
"Bristol",0.142702070808283,0.0204423430210377
"Burlington",0.0428388746803069,0.0164283005741706
"Canton",0.0580518844836025,0.0215744906495408
"East Granby",0.0651310563939635,0.0315270151690121
"East Hartford",0.203909952606635,0.0273950146903535
"East Windsor",0.145190398844974,0.0532678983190481
"Enfield",0.101833292593498,0.0162126462628963
"Farmington",0.0533491874752279,0.0136570065282379
"Glastonbury",0.0754931714719272,0.0145158133904684
"Granby",0.042473454091193,0.015236863742004
"Hartford",0.258480389233037,0.0180385125227714
"Hartland",0.0836671117044949,0.0346506306138612
"Manchester",0.158563871303443,0.0213793062437118
"Marlborough",0.0765909817716661,0.0617748667036424
"New Britain",0.236136697942105,0.0215037628314817
"Newington",0.0949120021172423,0.0199212430353203
"Plainville",0.157954480958057,0.0391819424511306
"Rocky Hill",0.101307525996088,0.0277315382116812
"Simsbury",0.0584857963066112,0.0179646327894391
"Southington",0.0810419343534634,0.0132178969095666
"South Windsor",0.0584293439924759,0.0237857721771131
"Suffield",0.0571145340857099,0.0209951384382252
"West Hartford",0.100629339924869,0.0138041899551825
"Wethersfield",0.0895652173913044,0.0176943936951311
"Windsor",0.0902126766475444,0.0193464835594463
"Windsor Locks",0.0952151959605674,0.0264900316469692
"Barkhamsted",0.0238095238095238,0.0160263771391424
"Bethlehem",0.119343891402715,0.0658052598784443
"Bridgewater",0.148640832851359,0.0616652606783393
"Canaan",0.155866900175131,0.0592776869091232
"Colebrook",0.106081081081081,0.0508344395045748
"Cornwall",0.110599078341014,0.0348395821732295
"Goshen",0.0795800880460549,0.0406432350940506
"Harwinton",0.0633564691226197,0.0299667321235061
"Kent",0.135232600072124,0.0654312764347769
"Litchfield",0.10007225433526,0.0275832293885269
"Morris",0.121684210526316,0.0481846441901094
"New Hartford",0.0749891634156914,0.0288822352361301
"New Milford",0.100963446757839,0.0244228031963797
"Norfolk",0.149933065595716,0.0640050633613728
"North Canaan",0.181558028616852,0.0824419365822116
"Plymouth",0.121947181058035,0.0369376256623954
"Roxbury",0.07083876575402,0.0338931939654964
"Salisbury",0.129398410896708,0.0623334297605119
"Sharon",0.171811082186687,0.0715508935218694
"Thomaston",0.0942374629367023,0.0296571252877984
"Torrington",0.168863565495932,0.0215953024299968
"Warren",0.0760869565217391,0.038722735966754
"Washington",0.0570913461538462,0.0369899679608214
"Watertown",0.0838776521464931,0.0202459391058062
"Winchester",0.16524190614769,0.0473357125247541
"Woodbury",0.0876892028254289,0.028757081409546
"Chester",0.0957209992579768,0.0401375226892573
"Clinton",0.124723977765933,0.0337276295300848
"Cromwell",0.0926632428466618,0.0295525054553133
"Deep River",0.16001744059298,0.0899376865254837
"Durham",0.0353487102497612,0.0255410255610832
"East Haddam",0.075185472262208,0.0297850745893009
"East Hampton",0.0572895771483591,0.0214410252680233
"Essex",0.066807738814994,0.031224144611644
"Haddam",0.0481392557022809,0.0337100105964644
"Killingworth",0.0592216582064298,0.0308841727051557
"Middlefield",0.0964019008825526,0.0399793853828803
"Middletown",0.128741212301633,0.0185003625595792
"Old Saybrook",0.131959579948484,0.0498038432168156
"Portland",0.0551248008497079,0.0178795705898033
"Westbrook",0.175561388159813,0.0704167665154937
"Ansonia",0.161180417234511,0.0438622460543959
"Beacon Falls",0.0745279894004637,0.0337238381838666
"Bethany",0.0268226822682268,0.015179594211745
"Branford",0.0879764342421956,0.0172748161686207
"Cheshire",0.0373106344682766,0.00971145169058461
"Derby",0.145699564011098,0.0505428400118386
"East Haven",0.130243666066731,0.0266123571885492
"Guilford",0.0577867928780708,0.0160253935325046
"Hamden",0.12092736248237,0.0166035775662591
"Madison",0.0747544258837893,0.0186645431068383
"Meriden",0.188359664259746,0.020758555828579
"Middlebury",0.0881568418244865,0.0398473646120715
"Milford",0.104388905821396,0.0161227942468941
"Naugatuck",0.126596795259788,0.0252956657197727
"New Haven",0.217875803775578,0.0171117621438391
"North Branford",0.0988042794210195,0.0383962059760126
"North Haven",0.0581478220768876,0.0170700449987453
"Orange",0.0449891852919971,0.0143809137591906
"Oxford",0.0414340750058967,0.0194950476055531
"Prospect",0.0606353294698433,0.0214298809725552
"Seymour",0.0898642865876024,0.0228446011245271
"Southbury",0.104145290375539,0.0266889104319895
"Wallingford",0.0840014494723015,0.0136781979356197
"Waterbury",0.206561832653854,0.0160650011086308
"West Haven",0.191564780589518,0.0246537757283801
"Wolcott",0.0648422837076951,0.0204885082152485
"Woodbridge",0.0608450704225352,0.0283133317447267
"Bozrah",0.107704101188195,0.0568373751848285
"Colchester",0.0886823263409119,0.0268178804567159
"East Lyme",0.074468085106383,0.0154042728145577
"Franklin",0.0835482207323363,0.033311840933076
"Griswold",0.163335572724219,0.0489291332464993
"Groton",0.146725389446212,0.0222113092505025
"Lebanon",0.0769230769230769,0.0318826884082982
"Ledyard",0.071044061939257,0.0296102976842494
"Lisbon",0.121016166281755,0.0484099821511202
"Lyme",0.119983450558544,0.0789089601706893
"Montville",0.111420147966847,0.032006492784844
"New London",0.202030027489956,0.033545325524057
"North Stonington",0.156770045385779,0.0851783805251786
"Norwich",0.181063372180263,0.0275745080456968
"Old Lyme",0.0824009477425299,0.0298471465178119
"Preston",0.156809092822564,0.076810263505017
"Salem",0.0583835946924005,0.029572213402787
"Sprague",0.0807600950118765,0.0426539770815882
"Stonington",0.102925065731814,0.0277761383638105
"Voluntown",0.113113496932515,0.0590171776704088
"Waterford",0.0881658357386513,0.0224682625168597
"Andover",0.0878836833602585,0.0397410096683003
"Bolton",0.0629905413564097,0.0267386235209241
"Columbia",0.11356986100951,0.0797202656685731
"Coventry",0.0662262326780535,0.0231968201799566
"Ellington",0.0804465709728868,0.0346228196289838
"Hebron",0.0629544982339497,0.0283661468673538
"Mansfield",0.112445730824891,0.0334571744205917
"Somers",0.066090113175315,0.0256876659383496
"Stafford",0.125778750631419,0.0365433696338547
"Tolland",0.059499026257471,0.0233407195146075
"Union",0.0634146341463415,0.0420618628035253
"Vernon",0.128387522120823,0.0230009002853017
"Willington",0.121801262878033,0.0522891899294821
"Ashford",0.160571964369433,0.0870752488032237
"Brooklyn",0.180517622577708,0.0709776226590722
"Canterbury",0.0675913264309435,0.0268050607101767
"Chaplin",0.0813076278290025,0.0406561500888647
"Eastford",0.0739156994502138,0.0296263052468627
"Hampton",0.0782463928967814,0.0289141321285249
"Killingly",0.169939621314262,0.033471509842427
"Plainfield",0.105263157894737,0.0278884654402715
"Pomfret",0.0492598883766076,0.0271781559464976
"Putnam",0.267833981841764,0.0639773028316983
"Scotland",0.131684876365727,0.0632865595908856
"Sterling",0.14550833781603,0.0717582068062549
"Thompson",0.138998612149034,0.0411843627720387
"Windham",0.222767595803125,0.0343279039454831
"Woodstock",0.0776907529055078,0.0333252904896874
